"level";"year";"sector";"fuel";"sheet_name";"cols";"start_row";"url"
"LSOA";2010;"domestic";"electricity";"LLSOA Electricity Domestic";"5,6";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49432/4813-llsoa-domestic-elec-est-2010.xls"
"LSOA";2010;"domestic";"gas";"LLSOA Domestic gas";"5";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49433/4814-llsoa-domestic-gas-est-2010.xls"
"LSOA";2011;"domestic";"electricity";"LSOA domestic electricity 2011";"5,6";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303117/LSOA_domestic_electricity_estimates__2011_.xlsx"
"LSOA";2011;"domestic";"gas";"2011 LSOA Domestic Gas";"5";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303118/LSOA_domestic_gas__2011_.xlsx"
"LSOA";2012;"domestic";"electricity";"LSOA domestic electricity 2012";"5,6";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296257/LSOA_domestic_electricity_estimates__2012_.xlsx"
"LSOA";2012;"domestic";"gas";"LSOA domestic gas";"5";2;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/317540/LSOA_domestic_gas__2012_.xlsx"
"MSOA";2010;"domestic";"electricity";"MLSOA Domestic Electricity";"4,5";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49424/4828-mlsoa-dom-elec-2010-alldata.xls"
"MSOA";2010;"domestic";"gas";"MLSOA Domestic Gas";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49426/4842-mlsoa-dom-gas-2010-all-data.xls"
"MSOA";2010;"nondomestic";"electricity";"MLSOA Non-domestic Electricity";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49425/4830-mlsoa-non-dom-elec-2010-alldata.xls"
"MSOA";2010;"nondomestic";"gas";"Non-domestic gas MLSOA";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/49427/4831-mlsoa-non-dom-gas-2010-alldata.xls"
"MSOA";2011;"domestic";"electricity";"MSOA domestic electricity 2011";"4,5";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303110/MSOA_domestic_electricity_estimates__2011_.xlsx"
"MSOA";2011;"domestic";"gas";"MSOA domestic gas (2011)";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303112/MSOA_domestic_gas_estimates__2011_.xlsx"
"MSOA";2011;"nondomestic";"electricity";"MSOA non-domestic elec 2011";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303114/MSOA_non-domestic_electricity_estimates__2011_.xlsx"
"MSOA";2011;"nondomestic";"gas";"MSOA non-domestic gas 2011";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/303113/MSOA_non-domestic_gas_estimates__2011_.xlsx"
"MSOA";2012;"domestic";"electricity";"MSOA domestic electricity 2012";"4,5";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296234/MSOA_domestic_electricity_estimates__2012_.xlsx"
"MSOA";2012;"domestic";"gas";"MSOA domestic gas";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296241/MSOA_domestic_gas_estimates__2012_.xlsx"
"MSOA";2012;"nondomestic";"electricity";"MSOA non-domestic elec 2012";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296230/MSOA_non-domestic_electricity_estimates__2012_.xlsx"
"MSOA";2012;"nondomestic";"gas";"MSOA non-domestic gas";"4";3;"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/296237/MSOA_non_-_domestic_gas_estimates__2012_.xlsx"
